,act,ap,awards,comments,country,courseload,decision,essay,ethnicity,extracurriculars,gender,gpa,hooks,ib,income,interview,jobexp,otherschools,rank,sat1,sat2,schooltype,state,strengths,summer,volunteer,weaknesses,whydecision
543,34,"[5, 4]","National Merit Semifinalist, Perfect score and multiple gold medals on National Latin Exam, Hugh O' Brien Student Leadership Award (school)",,USA,"AP Stats, AP English Lit &amp; Comp., AP Microeconomics, AP Latin: Vergil, Government, Concert Choir, World Religions",D,First prompt (wrote about my profound interest in birds and ornithology) 9.8/10,caucasian,"Football, President of Latin Club, Captain of Quiz Bowl, Secretary of Nebraska Junior Classical League, Track &amp; Field, Harvard Model Congress, HOBY Leadership Seminar",M,3.99,N/A,0,200000,Yes (I thought it went well),Lifeguard at Omaha Country Club; Usher/Ticket-taker at NCAA College World Series,"Cornell, Yale, Northwestern, Notre Dame, Boston College, Miami of Ohio, TCU, Fordham (accepted), Oklahoma (accepted), Nebraska-Lincoln (accepted),",0.05,2240,"[780, 680]",Private Catholic,Nebraska,Really good essays and recommendations,Lifeguarding and Football Workouts/Conditioning,Volunteered over 200+ hours combined at several service organizations,Not enough AP Exams and SAT II Subject Tests,I didn't specifically talk about what exact resources that I could take advantage of Harvard (I was too general)
544,33,0,Mostly regional and local economics and business-related stuff,"Sorry for the vagueness. I like my anonymity. Find your passion and try to stand out through unique extracurriculars. So many of the people who applied this year were qualified, as you will see with the questionable deferrals/rejections. It really takes something special to stand out in this sea of qualified applicants. I can't wait to get to meet my future Harvard family, and I am certain that those who were deferred/rejected will find the right fit for them.",USA,"The usual, what everyone else here is taking...",A,9/10,african,"5 major ECs (300+ hrs each), 2 unique",M,4.0,URM,0,0,"Had two, one on campus and one with an alum. On campus was 10/10, alum was 7/10.",NA,Nowhere else. Depends on my mood now,0.15,0,[],Small Private,South,"URM, Test Scores, Unique ECs and personal essays","See ""ECs""",Extensive through unique ECs,Lack of SAT II,"See ""Strengths"""
545,36,0,National Merit Semifinalist,"make sure you start regular apps before you hear from early schools! Although I'm upset I got deferred, I think having the ability to apply regular is a great opportunity to compare several schools and to hear more what they can offer you.",N/A,"Calc BC, Advanced Physics, Government and Politics, Constitutional Law, Immigrant Literature, Jewish History, Contemporary Judaism, Israeli Literature",D,10/10,caucasian,"JSA (president), Mock Trial (lawyer), Israel advocacy (club president), Tutor for underprivileged kids, school store (co-CEO), sports teams (captain)",M,3.93,legacy,0,200000,10/10 (went for two hours),worked at a hedge fund,"Yale, Princeton, Penn, Duke, NW, Cornell, Michigan",0.0,2300,"[790, 800, 770]",parochial (Jewish),NY,"test scores, extracurriculars, strong ties to Harvard","interned for several different political campaigns, attended the Yale Young Global Scholars program",Leadership role in community service organization (J-Teen),"grades were on the low side, white",H generally doesn't take more than one student early from my school (68 kids in my grade) and there was a stronger applicant
546,36,"[4, 5, 5, 5, 5, 5, 4, 4, 5, 4]",n/a,"Anything can happen, I'm just glad I have a second shot at Harvard, however farfetched it may seem, it's still a chance",USA,"AP government, AP macro-economics, AP micro-economics, AP Literature, AP Psychology, AP Environmental Science, Forensics, Photography",D,My common app essay was basically about my struggle learning English and how I was basically illeterate till i was about 10,african,"StuCo (President), M.U.N (President)",F,3.8,"URM, First Generation, Handicapped",0,165000,n/a,"Barista at Starbucks, tutor at Gideon math and reading centers","Stanford, Brown, Columbia, Dartmouth",0.0,2400,"[780, 800]",Public,TX,Test Scores,"Volunteered at Red Cross, Interned for an opthalmologist, tanned.",Volunteered for  Red Cross,"Very few extra curricular activities, lack of an interview",
547,33,0,,will edit later with more info,Germany,most rigorous,D,9/10 and 8/10,caucasian,"Violin (playing for 12 years, concertmaster)",M,0,,0,0,didn't have one,,,0.00952380952381,0,"[760, 720]",public,,"dual citizenship, strong extra curriculars and deep involvement, teacher recommendations,",,,"GPA? Test scores? No hooks, no major academic awards",
548,0,0,"Joint 1st in National Math Olympiad for Girls, National Debate Awards",-,UK,4 A Levels (UK system),D,Good,asian,"Debate (Captain), Math (Captain), Music (Scholar), School Magazine (Editor), School Newspaper (Editor)",F,4.0,-,0,0,Good,Research Placement,Lots,0.0,2330,"[800, 800, 800]",Private,-,Stats + ECs,"Camps, Research",~50 Hours at a Charity Shop,Leadership? Essays? Recs?,Accepted to some UK universities
549,36,"[5, 14, 10]",,,USA,"Most rigorous possible (AP Lit, AP Bio, AP Physics, AP Java, AP Gov); dual enrollment in Linear Algebra at local county college",A,,caucasian,,M,4.0,No true hooks. Perhaps unique cultural background (born and raised in Ukraine),0,0,Average -- nothing spectacular. Discussed random aspects of Harvard,,"Applied to Rutgers, Berkeley, USC. Named finalist for UNC Morehead-Cain. Will be attending Harvard so will withdraw everything.",0.00564971751412,2400,"[800, 800, 800, 800]",Private Catholic,NJ,"I covered every area as best as I could. Scores were above par for NJ, which has the highest averages of any state. My EC pull was huge -- planning the biggest MUN conference in the USA with a team of 40 officers -- and was my first listed activity, the focus of my supp, and the subject of my additional rec. Other activities included a range of leadership and accomplishments not uncommon to other applicants; NJ Scholars was a good feeder program.",,,None as far as I can tell.,I knew full well that applying from NJ was a bloodbath and attempted to stand out in every respect -- academics-wise and EC-wise. I'm sure my background/worldview portrayed in my CA distinguished me from many applicants.
550,34,[5],"National Merit semi-finalist, Outstanding Citizen Award at Boy's State, other local high school awards for extracurricular involvement.",,,"AP chem, AP World, multi-variable calc, choir, AP Eng",A,10/10 Wrote on performing stand-up comedy for a prison,caucasian,"Youth governor Ohio YMCA Youth in government program (helped expand membership from 200 to 600 over 4 years), State Chair of the Ohio High School Democrats (personally added 15 chapters to the organization across the state, facilitated 2015 city government campaign canvassing, registered a couple hundred voters total), headlining stand-up comedian in Columbus area, youth board representative on National Alliance on Mental Illness of Ohio, board member on Ohio Mike DeWine Teen Ambassador Board",M,3.9,Older brother went to Harvard,0,100000,11/10 the man wanted to marry me off to his daughter,"math tutor, legal assistant @ local law firm.",,0.0,2180,"[800, 800, 740]",Public,OH,,,"Spent 250 hours lobbying local schools to implement service learning curriculums that I designed, organized a couple charity fundraisers.",Test scores,Tried to portray myself as future John Stewart/Colbert (highest position in 2 statewide political organizations and pursuing comedy)
551,0,"[3, 5, 5, 4, 3]","Stockholm Water Prize, Ecybermission 2nd in NJ, Ricoh Sustainable Development award, broke 2 jumping records from 11 years ago for school, All Division athlete, AP Scholar with distinction","As I said before, just be a good person! I know that is an oversimplification sometimes that's what it comes down to.  Also try to get your writing to feel as if you wrote it and include many details to make the story more and more you. I certainly do believe that I was extremely lucky and I won't forget that. To those who were deferred/rejected, this doesn't mean anything! You are all talented and based on the SCEA thread, good and funny people. Sometimes it just comes down to what life experiences you've had. I know without that one thing , I probably would have been some of your places. Keep your head high and make Harvard believe that they made a mistake in not taking you!",,"Chem AP, Calc BC, Literature, Calc 3, Physics, Psychology AP, Gifted and Talented, Gym",A,9/10 or 10/10 simply because it was personal and the piece had my tone written all over it,african,"Varsity Track (4 years)-captain for 11th and 12th grade (Indoor and  Outdoor), various school clubs/honor societies with some leadership, church choir and youth committee, volunteer at bible camp, some ministry, other church activities",F,3.89,URM,0,110000,"8/10, went on for 1 hour and like 30 minutes. I think my personality really showed through it",N/A,"Rutgers (applied but still awaiting answer), not sure if I am going to apply to other schools now. I think saving a couple of hundreds of dollars will be good on my part.",0.0056338028169,2120,"[720, 760]",Public,NJ,Essay definitely. I think my essay was probably the most riskiest (in terms of topic) I've ever written but it didn't revealed something about me,Church activities,maybe about 400+ for career based volunteering,I assume test scores. My scores put me in the competitive applicant range but they weren't anything great,"I think for me it just shows that they like generally good people with interesting backgrounds. Despite my essay, I do have some activities that most kids haven't done and could possibly me valuable to the Harvard community. Just let your personality shine through and be a good and genuine person. At the end  of the day, that's all Harvard wants."
552,33,0,National Merit Commended,"Kinda bummed, but tryin to stay hopeful",USA,Honors everything,D,8/10 Wrote about how constantly being mistaken for Hispanic inspired me to learn Spanish and opened my eyes to the world of languages,indian,,,3.69,Nope,0,200000,Uhhh....not my brightest moment,I prefer to volunteer,"UNC Chapel Hill, UVa, Johns Hopkins, Brown, Columbia, Case Western, Duke, etc",0.0555555555556,1850,[720],"Small, catholic, all-girls.......need I say more?",NJ,You tell me,,,"Refer to ""Strengths""",Have not heard back
553,0,"[5, 5, 5, 5, 5, 5]","AP Scholar w/ Distinction, National Hispanic Recognition Program Scholar, National Merit Semifinalist",I was super ready to get deferred so this was a pleasant surprise. Very excited to relax over Christmas break instead of worrying about college apps. Good luck in the RD round to all deferred.,,"AP Psychology, AP English Lit, AP Spanish, AP Chemistry",A,Both 9/10,caucasian,"Debate (Captain my 11th grade year), Tea Club (co-founder), Badminton",M,3.98,"URM, double legacy",0,200000,"Went very well, she definitely recommended me strongly",Work/Internship at a law firm,Oxford (hearing back on the 6th of January),0.0,2360,"[800, 800]",Public,MA,"Scores, Grades, Essays","CTY (nerd camp), MIT Cryptography summer course, Debate Camp",Work on Bernie Sanders' campaign and other progressive causes,"ECs (lol), everything else","Strong scores (esp. for Hispanic students), good essays, legacy and URM status helped"
554,0,"[5, 4, 1]","nothing major, but college board AP scholar with distinction",I was somewhat surprised I got in! But I'm very happy; congrats to everyone else who was accepted and to those who didn't: hang in there.,,"multivariable calc, AP world history, AP lit, advanced journalism/newspaper production, intro to engineering (tech graduation requirement, 2 chorus classes (women's and chamber ensembles)",A,"common app essay about music/individuality/personal growth, supplement about academic interests and what I want to get out of college (not a conventional essay-- more of a series of vignettes, reads almost like a poem)",caucasian,"Shakespeare club (co-president and co-director), literary magazine (EIC and president), newspaper (feature writer &amp; creative writing manager), French club (co-president), member of pre-professional musical theater company",F,3.93,URM,0,0,very informal; I felt it went well and we got along well,"work at local ice rink, music camp counselor, worked on independent film","Brown, Columbia, Stanford, USC, Yale, NYU",0.05,2320,"[760, 770, 770]",public,mid atlantic,"academics, leadership",Johns Hopkins CTY courses (3 years),church outreach,guess I could have always done more extracurriculars (also I got B's in physics),I think my essays definitely helped me communicate my personality to the school--I just tried to be honest and invested in what I was saying.
555,0,0,F1 in Schools National and Regional + World Finalist,Best of luck.,India,Heavy,A,I would say they were very strong. Wrote about my family values and how they've shaped me 10/10,indian,"F1 in Schools (Team Manager and Car Engineer for India), Golf - Won player of the year on a Junior tour and was selected for the Hong Kong Junior Open 2013, 2014 (top 20 finish), Book - funded to publish a book to promote hygienic practices and to supplement the curriculum of the charitable organisation I worked with, Coding - created a website to make stay-backs in my school more secure, Startup - investment offer of over USD 15000 for my app startup, Math olympiad - UKMT Math Challenge (Gold in Junior and Senior categories), School student council, Captain of the Basketball Team, Debating - since a young age and have been on the debate club",M,4.0,Sister went to Harvard and did well,"[7, 7]",0,10/10,none mentioned but but I have my startup,"GTech (applied already), MIT (maybe)",0.0,2220,"[780, 800]",International Private,,"EC's definitely my strong points. Most of my EC's were linked with my intended course of study because I'm genuinely interested in them! The relevance of the rest, although not linked directly with my intended course of study, were shown to develop me as a good person, especially in my interview","Sports, learning how to code and developing website, volunteering etc.","Been volunteering for 3-4 years at a Charitable Organisation that educates marginalised children. Wrote a book for the curriculum and students (mentioned above). Other small-scale outreach projects (too long to explain). Community service representative on the Student Council so of course helped organise community based events in my school, website I made also helps community",SAT and standardised testing was okay-ish,"Luck is a big factor, but I'd say I had the minimum required application to be considered."
556,0,0,"Hong Kong Young Writer's Award 2013, Highest mark in the world Cambridge IGCSE French First Language","Really disappointed, I knew it was a long shot but thought I had a good chance. We'll see I guess.",UK,Bilingual IB Diploma Programme,D,"Ehh, common app one a bit rushed, supplement one a bit weird in hindsight",caucasian,"Law society (co-chairman), water polo (school and club), swimming (school and club), writing as a hobby",M,0,"Mixed-race (half French, half Hong Kong Chinese)? Very international (speak 4 languages)? Mum didn't finish high school?","[7, 7, 7, 7, 7, 7, 3]",0,"Flew in specially for an interview with Admissions, went really well, then had an alumni one in London which didn't go as well (Arrived late, he had to leave early, only about 30 minutes in total? He was very nice though and said his job was just to show me in the best light possible to Harvard)",Summer intern in a Law firm and an IT start-up,"Cambridge, Columbia, UPenn, Yale, Dartmouth, Brown, Princeton, Cornell, Stanford, UChicago, Duke, Northwestern, UCBerkeley, UCLA, HKU",0.0,2400,"[800, 800]",British private boarding school,N/A,"SAT scores, IB scores?","Above internships, travelling","Boarding house captain, school prefect, mentor and tutor of younger students, UNICEF club (chairman)","Essays? Recommendations? Arriving late to the alumni interview? Too many extracurriculars, no ""hook""?","See weaknesses, no luck?"
557,35,"[5, 5, 5, 3]","Nothing huge, but AP Scholar with Honors/National Merit Commended Student","I think that I could've worked harder in a couple of my classes/self-studied some APs to give my application more beef. I also believe that I could have participated in more national activities to help promote the idea that I am dedicated to what I do, and show that I can perform well on a larger scale. But I suppose I can't worry so much about the past; what's done is done.",N/A,"AP US Gov and Pol, AP Spanish, AP Calc BC, AP Biology, English 12, Theology",D,"Common app essay 11/10, this essay I took a lot of pride in and my English teacher loved it. It was about what I've learned from participating in robotics. 10/10 for the supplemental essay, my teacher loved this one as well, and this was about having major back surgery and how that's inspired me to pursue medicine in the future.",caucasian,"JV Tennis 9-10 (Co-Captain 2013, MVP Award 2013), Varsity Tennis 11-12 (Co-Captain 2015, Coach's Award 2015), FIRST Robotics 9-12 (Safety Captain 2014-2016, Scouting and Analytics Co-Lead 2016, loads of awards), National Honor Society 11-12, Girl Up! Club 12, Stage Crew 10",F,4.0,N/A,0,150000,"9/10. Talked for about an hour, felt as though the conversation went well though perhaps that was just me. Could've focused a bit more on one passion rather than basically listing off my resume.",Order Processor/Admin Temp at a local business (summers 2014-2015),"Applying: Johns Hopkins, Applied: University of Rochester (REMS), Case Western Reserve (PPSP), SUNY University at Buffalo, University of Pittsburgh (GAP)",0.1,2260,"[770, 710]",Private/Parochial,New York,"Scores, GPA, essays","Mini Medical School at the UR (2015), volunteering, working","Checkout volunteer at school's biggest fundraiser 9-12, Lego League mentor/table resetter at my team's QT 9-12, Volunteered at a local hospital (summer 2014)","Don't have a hook, letters of recommendation, no major awards, ECs might be weak?","Probably deferred due to the aforementioned weaknesses. Harvard apps obviously have to be great all the way around, and in those areas I believe I was lacking."
558,34,0,"Boys Nation, National Merit Semifinalist, (not much honestly)","Be very honest about who you are. Play to your specialities. Get really luck, honestly that's all I did. Honestly if you're reading this and looking for advice mine is very simple. I got in, I believe, because they thought I would be a nice person to have on campus. Sometimes they let people in because they will discover great things, because they have a lot of money, or a variety of other things. Honestly though, the thing that will make it most likely that you get in, is making them very aware that you would be someone that they'd love to have at Harvard.",,"IBH Chemistry, IBS Calculus, IBH Spanish Literature, IBH History of the Americas, IBH English, TOK, Weight Lifting (lol)",A,,caucasian,"Study Buddies (director) - program that tutors inner city kids,  middle school debate program (head coach,) Speech and Debate (captain,)  NHS, Spanish NHS, Stuco, Superintendent's advisory board, a bunch of other crap",M,3.92,"Inner city school, Boys Nation,",[7],0,"One at Harvard that went very well, talked about structural inequality and protests at Harvard and just had a great time. One in my hometown, scheduled for half an hour, lasted two hours. Told me afterwards that he hoped I didn't become a cynic before I became president (never even talked about political aspirations.)","Bus boy, house sitter, Banana Republic, Coaching debate, Tutoring,","UC Berkeley, UCLA, USC, Stanford, Columbia, Claremont McKenna, WashU, KU Honors",0.0224719101124,0,"[740, 780]",Public HS (Magnet and Inner city),KS,Amazingly personal essays. Great interviews. A few hooks that probably helped a ton.,"Debate camps, Boys state and nation, speech camps,","Landscaping, volunteering with mentally disabled/troubled past students,",My ACT and SAT II scores weren't great. No huge accomplishments. I haven't cured cancer yet or anything.,"Essays. Interviews (Harvard has a personal rating and an academic rating they give every applicant. I recommend you research this. I'm guess that although my academic rating was middling, my personal rating was likely very good."
559,0,"[4, 1, 4, 5]","10th Place in the nation for FBLA event, 5th place in state for FBLA/Science Olympiad events/county award in math","I'm really excited and I want to thank everyone on this site. I've been using this site since I was in sixth grade. I wanted to figure out how to get into Harvard and while I did get in, I don't think there is any formulaic approach. To those seeking admission to Harvard, the best advice I can give you is to get good grades, pursue one extracurricular in depth, be well-rounded, talk about your passion in your essays, and sell yourself! Be busy during your summers, but still live a balanced lifestyle and have fun. I had a great four years, and also really get to know your teachers and establish good relations with them!",USA USA,"AP Calc BC, AP Physics C M/EM, AP Chemistry, Honors Civics, AP English Literature, AP Computer Science",A,Common App Essay - 7.5/10 | Supplemental Essay - 8.5/10,caucasian,"FBLA (State President/State Secretary/National Assistant/local President--super, super involved in FBLA), Class President, Founder and President of Cultural Club, Varsity Soccer all four years, Science Olympiad, Math League",M,3.97,First Generation,0,100000,Good - 8/10,Unpaid Intern at local IT firm for two summers,"UC Berkeley, UCLA, Yale, Princeton",0.00398406374502,2350,"[800, 690]",Public,Can't Say,"Good scores, pursued one EC in depth, not many AP classes, some state/national awards, good leadership, well-rounded","Unpaid Intern at local IT firm for two summers, Governor's School in Engineering and Technology, E2@MIT, Boys State","middle school tutor, volunteer at hospital/senior citizen center/FBLA stuff","bad Subject test score, maybe didn't do that many ECs","I think they saw through my recommendations and extracurricular activities that I was a good leader. I guess they were looking for passionate individuals and I showed that through my common app essay by writing about what meant most to me, aka FBLA."
560,0,"[5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 3, 1, 3, 2, 3, 3, 5, 5]","national bio olympiad semifinalist, neurobiology state finalist, NJRSF Freshman Award","Harvard is my first choice, but there are lots of other schools! There's no key to acceptance. Just be yourself!",,,D,not a good writer... most teachers liked it,asian,,M,4.0,"multilingual, first generation student and american",0,0,went really well. we talked for almost 2 hours about lots of topics,"Domestic Abuse Organization, medical clinic in foreign country, working in doctors office, researcher in environmental interest group",,0.0,2250,"[760, 750, 740, 700]",private,nj,,"2 classes at local colleges, 2 classes at Harvard summer, wrestling camp at Harvard, internship at clinic","turkish humanitarian organizations, bengali humanitarian organization, tutoring",,Lot's of amazing applicants with stories and passions
561,0,0,"National Merit Scholar Semifinalist, National AP Scholar, National Hispanic Recognition program scholar, photo selected as Editor's Favorite on National Geographic. Not sure if any of those are ""major"" so decide for yourself <span class=""Emoticon Emoticon1""><span>:)</span></span> Also I was rejected by Coca Cola for their scholarship!","The admissions process is stupid. Getting accepted to a college or rejected by a college means absolutely NOTHING. Before you applied you were beautiful/smart/talented/hardworking/passionate and after you got your decision you were beautiful/smart/talented/hardworking/passionate. Success isn't defined by a college admission's decision, whether it said accepted, deferred, rejected, or fish fry, but rather by the experiences you create. And that's true no matter where you go! Someone who will be successful will be successful no matter where they go to school. And as hard as it may seem to believe, it is possible to be happy at so many different schools for any individual.",,,A,,hispanic,,M,3.94,"URM, 1st gen",0,50000,6.5/10,None,"UF, Middlebury, WUSTL (all before I was accepted), and I'm going to apply to Stanford, Yale, and Amherst for sure. Maybe Penn and Duke.",0.00367647058824,2280,"[770, 800]",Public charter,FL,,,,,"First and foremost, my recommendations. They were amazing. I also had passionate extracurriculars that I'm passionate about, and they aren't terribly commonplace. Essays were very personal and exposed a lot about my background and who I am and the struggles I've faced. I've taken an insane amount of classes since 9th grade through my high school and local colleges and have done well in them. In short, I don't think any one thing got me accepted. It's a whole mess of things that ended up working out for me I suppose."
562,33,0,,i have no hope for march,,,D,,african,,M,3.7,"urm, first gen",0,0,none,,,0.0,0,"[720, 780]",,south,,,,,
563,36,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5]","National AP Scholar, National Merit commended, Washington &amp; Lee University Book Award, couple good debate competitions","Standardized test scores and essays are really the only elements of your app you can change at the very end, and are actually some of the most important (weaving a coherent story throughout the app is important, i.e. these are the two or three things I really enjoy doing and am skilled it; at least one essay should expand on an activity, and ultimately provide a reason as to why you should be accepted [seems obvious but can be less common in practice than one may expect]). Everybody should put an immense amount of effort into both of them.",-,"AP Physics C: Mechanics/E&amp;M, AP English Lit, AP Macro/Micro Econ, AP Calc BC, AP Spanish Lit, Competitive Debate Honors",A,"Common App about my love for statistics, why I want to become a stat professor, how I perceive the world in terms of statistics (10/10). Supplement is what I would consider normal length (about 650 words) describing how I fit within my family and a weird rebellious phase I had (8.5/10)",hispanic,"Debate (co-captain), Spanish Honor Society (president), Mu Alpha Theta, Cum Laude, NHS",M,3.88,URM,0,200000,"(9/10) - only lasted about 45 minutes. He said he'd do his best to make a case for me, seemed to be impressed by interest in statistics and undergraduate classes I'd already taken at Harvard. Nothing super crazy","Tutoring kids for classes and standardized tests, putting most of my time into it in recent months, but some experience throughout high school","Stanford, Yale, Princeton, Duke, Penn, Berkeley, Columbia",0.01,0,"[800, 800, 800, 720]",Private,Florida,"Standardized test scores, GPA were solid. Classes at Harvard (Intro to Econometrics, Multivariable Calculus, As in both classes) helped put me deeper into a quantitative niche; stat specifically I think was a big help, which the Common App explained. Harvard is a really big fan of debate, which I devoted the vast majority of my time outside school into. Hispanic status is great too, which I milked with the community service and club activity","Harvard SSP before senior year, 7-week debate camps before sophomore and junior years, 5 weeks of debate camp before freshman year and JHU CTY course","2 two-week trips to the Dominican Republic; worked with kids, teaching english and helping in educational projects",ECs not out of this world,"arguably a similar question as strengths. Really hard to say; guess the debate/stat combination is somewhat rare. Hispanic kid from South Florida is good, and high test scores/grades + As in classes at Harvard were maybe enough to vote for the acceptance?"
564,36,[5],"Published an anthology through a famous publishing company, sales decent, reviews very good; YoungArts National Finalist Short Story (2014), Merit in Poetry (2015); Scholastics Art and Writing Contest National Winner (2 Gold, 1 Silver); 4 Publications in &lt;0.1% acceptance rate literary magazines, Winner of 3 Concerto Competitions, All-State and Regional Orchestras for violin, produced an iPhone app with 10,000 downloads with some friends (kind of random, I know)","Anything is possible! <span class=""Emoticon Emoticon4""><span>:D</span></span>",USA,"AP Calc BC, AP Physics C, APUSH, AP French, Shakespeare, American Literature, Creative Writing",A,"9/10 called ""Incredibly insightful and original"" by my consultant",asian,"County Youth Orchestra (9,10 Concertmaster 11,12), Member of a quartet at Julliard (9,10,12), Science Olympiad (10,11,12)",F,"[11.1, 12, 12]",Fac brat? (My uncle works there),0,0,7/10 - Eh,"Internships at a major research university, both paid (11,12)","Yale (If I get in, I'm going here), Princeton, Columbia, Penn, Cornell Presidential, WashU Danforth Scholarship (If I get either of these last two, I'm going there, even if I get into Yale)",0.0,0,[800],Private,In the Northeast,Writing,"My internships in chemistry and computer science (The latter was very hard to get), Iowa Young Writer's summer program (11), Meadowmount and Summit music camps (9,10)","Very active in a local music nonprofit run by my violin teacher (9-12), also a program where I teach kids vocabulary (11) and programming (12)",Probably my race,"Rather surprised I got in frankly, since historically only the students with the highest GPAs get in. I probably won't even be Cum Laude (Top 20%) by the end of my senior slide."
565,0,"[4, 5, 5, 5, 5, 1, 5, 2, 5, 5, 5, 4, 4]","National Merit Semifinalist, National AP Scholar with Distinction",Congrats you guys who got accepted! I feel the pain of my people that got deferred:/ nothing you can do about it now!,,"AP Stats, AP Lit&amp;Comp, APES, Academic Decathlon, 3D Modeling and Animation, AP Physics C, AP Spanish Lang, Tennis/Soccer",D,"Common App 7/10. Wasn't beautiful but shouldn't have hurt me, pretty common theme but funny and personal. Supplement 10/10, counselor and English teacher said it was best they had ever read and simultaneously showed academic and personal side.",asian,"Academic Decathlon (Team Captain, 2nd In state overall) Tennis (3 time all district, regional finals, regional newcomer of year) Soccer (All-District) UIL Academics (Science 3rd Pl State, Math Science and Number Sense Team Captain) Mock Trial (Lead Attorney, Regional Finals Outstanding Attorney) United Way Youth Division (Vice Pres, 200+ hours) Chemistry Olympiad National Qualifier, AIME qualifier",M,4.0,I'm a super nice dude!!!,0,175000,"9/10, My guy was super interesting and we hit it off pretty well. He told my dad I was a one of a kind kid.","University Animal and Food Science Lab Assistant, University Muscle and Cell Biology Lab Assistant, Tutor",MIT Stanford UPenn Columbia Yale Princeton Rice UT,0.003861003861,2370,"[800, 800, 790]",Public,Texas,Test scores and transcript,"Working in labs, BU Summer Challenge in business and economics, Coursera classes in Computer programming, finance, and public policy","200+ hours, presidential award for community service, youth service organization VP",No wow factor,"I initially thought it was because Asian but 25% of the accepted students are Asian! No excuses I guess, I just didn't work hard enough throughout HS!"
566,35,"[5, 5, 5, 5, 4]","Chem Olympiad Semifinalist, Some major debate awards, NIH SIP, Siemens Semifinalist, Major statewide leadership position",,,"4 IB courses, Linear Algebra, Abstract Algebra, 300-level biology courses, 2 AP classes",A,"7/10 (alright but I kind of got lazy after a bit, fairly unique topic though)",asian,,,4.0,None,0,150000,8/10 (went pretty well),,"still contemplating but maybe Stanford, Princeton, MIT, JHU, and a few others...",0.00333333333333,0,"[800, 800, 790]",Public,prefer not to say (very underrepresented state),"Heavy course load and upper division college classes, good mix of humanities and STEM",,,"No super major awards, Asian-male,",See strengths
567,35,"[16, 5]","top ten in state-level speech and debate tournament, won several state and local science fairs, 99th percentile AMC, AIME qualifier, nat. merit finalist",seriously the game is rigged if you're white or asian male applying to a STEM major,,"mutlivar. calc, linear algebra, ap comp sci, ap physics, ap chem, apush, ap english",D,"common app 10/10, wrote about my passion for helping other, harvard supplement 8/10, wrote a list of books i've read, almost exceeded file size limit",caucasian,"speech and debate club(president), political action club(president), varsity soccer(captain), varsity basketball(captain),varsity baseball(captain)",M,4.0,first gen,0,30000,"3/10 really short, and the interviewer was very rude","worked at john muir hospital 20 hours a week, summer camp for four years","stanford, princeton, mit, caltech, yale, columbia, dartmouth, cornell (safety), brown, upenn, duke, uc berkeley, ucla (safety), uc davis(safety)",0.006,2400,"[800, 800, 790, 780, 800]",public,CA,where do i begin?,"biological research at mit and stanford, training for sports, speech and debate nationals",hundreds of hours,"790 physics and 780 bio in a sea of 800s, 35 act, 3rd in class",i honestly have no idea
568,0,"[4, 4, 5]","National Merit Commended Scholar, a few crew awards, most noticeable being our Nationals Qualifying Women's Second Varsity 4+ Second Place Award","Be very careful with regards to how you fill out you Common Application (it's more important than you think). If you have a rough patch in high school, REACH OUT, it will save your GPA. I'm ready for the regular decision batch!",,"AP Calculus BC, AP Economics, AP Statistics, Physics Honors, Love and Literature (English 12), Ceramics Major",D,"Common App was excellent , supplemental was mediocre",african,"Jack and Jill of America (President, Treasurer, Sergeant at Arms), Varsity Rowing, Black Student Union (Secretary), JV Volleyball (Co-Captain)",F,3.99,"URM, first generation immigrant (?)",0,0,"Good, it was one of the worst interviews I've had though. He stumped me on ""Why Harvard?"" and "" What would you be like in 30 years?""",Brief stint in fast food,"All the Ivies, Stanford, MIT, Northeastern (likely letter), University of Maryland (accepted with honors), Howard (accepted), RIT (accepted?)",0.0,2270,"[770, 800, 720]",Private,Rather not say,"Common App Essay, a respected source said it was one of those ""one in a million"" type essays","Good, I definitely showed a trend. I attended CTY for a very long time and one of my courses influenced my internship","Two summers in a shelter, various activities through Jack and Jill","GPA, Common App (filled out without much detail)","GPA, a very similar candidate (with probably a  higher GPA) from my school was accepted"
569,0,"[5, 5, 5, 5, 5, 5, 1, 5, 2, 5, 5]","National AP Scholar, Speaker at U.S. News STEM Solutions National Leadership Conference, presenter at 2016 Oncofertility Conference at Northwestern University",try to apply to most of your schools before you get your early decision back because it is a lot harder to write good applications after being accepted/rejected,,"AP English Literature, Calculus D (Multivariable Calculus)/Linear Algebra, Speech and Debate, AP Biology, AP Art History, AP Microeconomics, AP U.S. Government",A,"about math, pretty good",caucasian,"varsity swim team, speech and debate team (student teacher and treasurer), engineering program to send an experiment to the International Space Station (one of two project managers), brief internship at Qualcomm",F,4.0,legacy,0,0,AMAZING talked about Harry Potter for half the time,"tutoring, research assistant in organic chemistry lab (published on paper as coauthor)","got into UCLA (engineering), UC Berkeley (engineering), UCSD (engineering), MIT, BU, Columbia (engineering), and Rice (engineering)",0.1,2310,"[800, 800]",public,CA,"extracurriculars, grades, test scores, well-rounded","science program at UCSD, research at USD","environmental club (President), NHS, chemistry club (President)",not outstanding at any of my extracurriculars like swimming or debate,no idea.  it's pretty random
570,0,0,,,,,R,,,,,0,,0,0,,,,0.0,0,0,,,,,,,
